time,speed_compact_summer_test1,speed_compact_summer_test2,speed_compact_summer_test3,speed_compact_summer_test4,speed_compact_summer_test5,speed_compact_allSeason_test1,speed_compact_allSeason_test2,speed_compact_allSeason_test3,speed_compact_allSeason_test4,speed_compact_allSeason_test5,speed_compact_winter_test1,speed_compact_winter_test2,speed_compact_winter_test3,speed_compact_winter_test4,speed_compact_winter_test5,speed_sedan_summer_test1,speed_sedan_summer_test2,speed_sedan_summer_test3,speed_sedan_summer_test4,speed_sedan_summer_test5,speed_sedan_allSeason_test1,speed_sedan_allSeason_test2,speed_sedan_allSeason_test3,speed_sedan_allSeason_test4,speed_sedan_allSeason_test5,speed_sedan_winter_test1,speed_sedan_winter_test2,speed_sedan_winter_test3,speed_sedan_winter_test4,speed_sedan_winter_test5,speed_suv_summer_test1,speed_suv_summer_test2,speed_suv_summer_test3,speed_suv_summer_test4,speed_suv_summer_test5,speed_suv_allSeason_test1,speed_suv_allSeason_test2,speed_suv_allSeason_test3,speed_suv_allSeason_test4,speed_suv_allSeason_test5,speed_suv_winter_test1,speed_suv_winter_test2,speed_suv_winter_test3,speed_suv_winter_test4,speed_suv_winter_test5
27.59,26.19,25.289,25.14,25.783,24.713,25.235,23.683,25.613,NaN,24.783,25.491,24.92,26.227,25.676,26.343,25.272,25.301,NaN,24.923,24.409,23.919,24.76,25.178,24.576,24.671,24.514,23.971,24.881,25.334,24.627,23.326,25.508,23.92,24.16,NaN,23.809,23.376,24.612,23.169,24.609,24.247,24.796,24.181,23.605,23.082
27.6,25.394,25.267,26.232,25.777,26.182,25.649,24.522,25.129,26.423,26.364,25.876,25.604,24.89,26.292,26.351,23.798,25.003,25.022,24.957,23.634,25.183,NaN,23.597,24.977,25.547,24.634,24.733,25.571,23.968,24.529,24.331,25.576,24.646,24.653,24.383,23.244,24.514,NaN,24.171,24.391,23.883,24.9,24.209,24.179,24.733
27.61,25.287,25.024,25.349,26.187,25.987,25.31,25.298,25.691,24.242,26.051,25.578,26.451,24.839,26.444,26.426,24.576,25.102,NaN,24.864,24.493,24.86,23.664,24.776,NaN,25.241,24.787,22.934,NaN,24.863,24.402,23.425,24.196,23.525,24.804,24.884,24.082,25.339,24.872,24.502,24.562,23.86,24.844,23.696,24.351,24.625
27.62,25.864,24.876,25.701,25.735,25.636,25.233,24.325,25.135,25.753,26.028,25.85,25.86,24.825,25.739,26.347,24.518,25.613,25.222,24.04,24.417,24.281,25.193,24.348,25.399,25.462,25.392,23.75,24.773,24.139,25.063,25.02,24.561,24.142,24.88,23.262,24.547,23.412,24.561,24.265,25.9,24.124,24.233,23.694,24.365,24.194
27.63,24.683,25.556,25.033,25.681,25.328,23.674,24.905,25.019,25.429,24.42,24.303,25.713,26.318,26.049,25.074,24.659,25.063,23.397,24.651,24.154,24.416,23.635,24.986,23.741,24.99,24.652,24.326,25.404,24.954,NaN,25.303,24.031,24.831,24.511,23.953,24.098,24.649,24.524,23.495,25.027,24.527,25.366,24.967,23.591,24.13
27.64,25.564,25.735,26.82,25.461,25.691,24.349,24.511,26.35,25.264,26.188,25.477,24.184,25.968,25.735,25.406,24.431,24.638,24.644,24.684,25.145,24.683,24.309,NaN,23.749,24.435,24.774,25.14,23.726,25.086,25.655,24.695,24.412,24.276,25.304,24.706,24.712,24.767,24.903,24.54,23.373,24.903,24.943,24.606,23.088,23.772
27.65,25.508,25.662,26.82,26.776,24.503,25.438,24.74,25.687,25.794,26.604,26.037,24.581,25.569,NaN,25.299,24.806,25.63,24.421,24.905,24.355,25.09,23.872,24.766,24.863,24.49,24.315,24.628,25.304,24.737,24.594,24.302,25.209,24.481,24.896,24.506,23.849,25.428,24.385,NaN,25.268,24.641,24.72,24.987,24.758,24.501
27.66,26.227,25.773,24.87,24.947,24.838,24.583,25.079,26.048,NaN,25.815,25.117,25.439,26.21,26.22,NaN,24.787,24.019,23.68,23.986,24.668,24.99,24.401,24.661,25.032,25.647,24.108,25.5,25.184,23.37,25.473,23.736,25.698,25.375,24.325,24.823,24.948,24.937,NaN,23.765,24.399,24.854,24.284,24.559,23.89,24.259
27.67,24.825,25.277,25.287,25.875,25.93,24.416,NaN,25.463,24.374,26.373,24.66,NaN,26.155,25.217,26.46,23.238,24.921,24.623,24.51,24.491,24.846,24.68,24.674,23.499,24.325,24.062,25.554,26.211,23.673,25.25,23.729,24.474,24.88,24.225,25.237,24.471,24.324,25.303,24.704,25.257,25.31,24.122,24.91,23.995,24.774
27.68,25.005,25.928,25.485,25.572,26.601,26.103,24.363,25.711,24.845,25.735,25.325,25.635,25.734,NaN,25.94,24.084,25.356,23.665,24.365,23.986,24.787,24.588,24.454,23.313,23.648,24.917,23.26,24.391,24.497,24.972,24.163,25.125,24.395,24.342,24.224,23.033,23.497,24.817,24.753,25.085,24.756,25.269,23.68,24.043,23.647
27.69,26.565,26.303,26.257,25.596,26.694,25.295,25.274,26.276,26.06,26.669,25.314,25.383,26.13,26.216,25.724,23.989,25.295,25.474,25.318,24.903,24.523,25.275,24.612,NaN,25.396,24.178,25.178,24.374,24.308,24.529,23.722,25.447,24.615,24.923,24.6,25.025,24.875,24.202,23.331,25.248,24.688,24.494,22.592,24.02,23.608
27.7,25.534,25.378,24.958,23.957,24.748,24.545,25.351,25.353,25.649,25.535,25.029,25.154,25.136,24.544,26.035,23.812,24.223,24.44,24.225,24.035,24.527,24.465,25.723,NaN,25.031,24.245,24.942,25.028,24.602,25,25.403,24.996,24.646,23.815,24.7,24.735,NaN,23.573,25.044,24.325,24.871,24.908,24.971,24.406,24.308
27.71,25.246,24.868,24.914,26.115,26.477,25.311,23.815,25.2,25.019,26.759,25.757,26.651,25.741,25.891,25.467,24.803,24.574,24.194,25.224,25.043,24.377,24.421,NaN,23.931,25.299,23.867,23.678,25.217,24.794,24.589,25.332,24.381,23.219,25.188,24.389,24.705,25.286,25.263,24.114,24.454,24.485,23.4,23.93,24.152,24.67
27.72,25.416,25.405,25.039,24.528,24.709,25.631,23.76,25.316,26.217,25.439,25.577,24.781,26.258,26.038,25.482,NaN,25.964,25.303,24.828,24.684,23.634,24.806,24.334,24.756,NaN,24.871,25.263,24.149,24.77,24.87,24.283,25.537,23.098,24.811,23.316,23.401,24.248,24.194,23.822,25.195,25.171,24.813,23.542,NaN,23.476
27.73,26.582,26.331,25.918,25.285,25.566,25.75,25.131,23.846,25.082,25.437,25.14,25.907,24.919,24.359,25.613,23.542,25.576,22.945,25.514,25.017,24.886,24.549,24.949,23.428,24.962,24.904,24.509,25.17,24.683,23.857,25.628,25.831,23.468,25.102,24.31,24.761,24.896,24.665,23.168,24.1,25.206,24.039,24.724,24.267,23.189
27.74,24.879,26.813,25.445,25.876,26.267,25.737,23.938,25.037,25.338,26.238,25.596,25.514,25.705,25.714,24.794,25.044,24.996,23.77,25.063,23.468,25.407,24.776,24.68,25.273,25.159,24.582,23.956,24.544,24.109,25.093,22.761,24.977,24.421,23.79,24.96,23.928,24.964,23.838,24.688,25.454,24.804,24.841,23.955,24.31,24.407
27.75,25.544,25.721,26.002,25.861,25.334,24.219,NaN,25.418,26.303,25.623,25.069,27.114,26.179,25.322,26.794,23.615,25.81,24.343,25.15,24.964,25.06,23.561,25.176,23.964,25.437,24.663,24.06,23.895,24.148,24.675,25.101,24.827,23.966,24.516,24.559,23.605,24.995,25.699,23.652,23.922,24.65,24.178,23.88,24.264,23.683
27.76,25.081,26.291,24.359,25.24,25.584,25.341,24.829,25.589,24.768,25.867,25.185,26.77,25.055,26.484,25.71,24.275,24.632,24.205,24.945,23.802,23.96,25.284,24.219,24.528,25.516,24.647,23.427,24.931,23.845,25.704,25.753,25.26,24.553,24.529,24.513,23.226,23.487,NaN,24.315,24.832,25.221,24.279,24.288,23.117,24.005
27.77,26.177,25.844,25.29,24.564,25.354,25.763,25.011,25.511,25.768,26.341,25.131,24.926,24.366,25.287,25.99,24.972,25.232,23.747,25.333,24.151,25.124,24.368,23.655,24.293,24.859,24.099,24.782,25.017,24.824,25.209,24.312,24.773,23.462,24.9,24.179,23.588,25.284,NaN,23.991,24.938,23.626,25.542,23.647,23.82,24.368
27.78,25.434,25.756,26.226,25.008,25.802,25.927,24.822,25.695,25.899,26.131,25.44,25.88,25.319,26.333,25.944,24.995,25.857,24.325,26.131,25.233,25.61,25.711,23.768,23.938,24.989,24.997,23.912,25.29,24.331,25.798,24.148,24.391,25.493,24.801,24.292,24.735,24.494,25.08,23.118,24.217,24.479,24.358,23.375,24.251,23.689
27.79,25.394,25.61,25.069,26.049,25.118,24.453,25.884,25.943,25.461,25.6,23.842,24.827,25.344,25.45,25.158,23.526,24.834,23.874,24.587,24.206,24.871,25.067,23.904,23.927,25.695,24.356,25.413,25.799,24.359,24.827,23.988,NaN,24.978,25.118,24.447,22.96,24.996,25.676,24.415,24.047,23.766,23.473,23.781,22.804,24.192
27.8,25.009,26.421,26.038,26.062,24.858,25.456,24.526,25.173,24.857,26.381,25.441,24.887,25.718,26.262,26.359,23.6,25.407,NaN,24.741,24.346,24.396,24.691,24.618,25.811,25.269,NaN,23.953,NaN,24.278,24.956,NaN,24.225,23.336,23.906,24.535,22.713,24.917,23.681,23.901,25.886,24.494,24.669,24.725,23.094,22.875
27.81,24.689,25.195,26.292,24.479,24.775,NaN,23.913,25.95,26.177,24.822,25.139,25.426,25.816,25.01,25.466,24.168,24.244,24.367,24.698,24.237,25.178,25.514,23.99,25.118,24.845,24.131,23.227,25.906,25.046,24.797,24.095,24.712,23.707,25.629,22.876,23.425,23.662,24.465,25.175,23.855,24.398,23.569,24.289,24.345,23.67
27.82,25.725,25.362,25.546,25.356,25.486,24.019,24.713,24.65,24.976,26.002,25.576,25.852,25.187,25.571,25.704,24.586,25.089,23.709,25.29,24.71,23.567,24.052,24.231,25.217,24.563,NaN,24.833,24.236,25.069,23.657,24.348,25.345,24.841,25.681,24.438,24.734,24.723,23.561,24.355,25.187,24.596,24.654,24.02,23.491,24.164
27.83,25.233,24.831,26.044,24.976,25.948,25.41,NaN,25.634,25.378,NaN,25.528,25.188,25.795,25.88,27.072,23.967,26.406,24.937,NaN,24.747,24.626,25.624,NaN,24.648,24.07,23.707,23.864,24.432,25.344,24.565,NaN,24.105,23.699,23.529,25.059,23.866,24.388,23.136,24.59,25.217,23.92,24.984,23.213,24.375,23.846
27.84,26.237,25.764,26.044,25.513,24.86,24.906,NaN,25.076,25.768,26.88,24.738,24.564,26.036,25.689,25.664,24.739,24.794,24.027,24.459,24.616,24.724,23.977,25.637,24.026,24.485,24.71,24.261,25.263,24.647,24.704,24.231,24.198,24.404,24.981,24.43,22.997,25.722,23.885,24.591,23.801,23.619,24.466,23.121,24.203,24.836
27.85,25.491,24.809,24.981,25.826,26.352,25.322,24.53,25.061,25.312,NaN,24.701,26.174,25.559,25.008,24.976,23.435,25.422,24.347,24.239,23.428,23.896,25.243,24.781,25.357,23.217,23.214,24.617,23.841,24.06,25.371,24.635,26.309,24.699,25.944,24.498,23.719,24.489,24.771,24.048,25.18,24.57,23.849,23.401,24.289,23.197
27.86,26.403,25.809,25.894,25.439,25.169,25.658,23.747,25.777,25.155,25.613,24.909,25.883,25.58,24.889,NaN,23.359,24.932,24.106,24.316,24.215,24.867,25.383,25.214,25.306,23.39,24.881,24.176,23.774,24.903,24.582,24.432,24.664,23.88,24.296,24.65,24.705,24.274,24.523,24.795,24.789,25.148,25.146,23.152,23.938,25.101
27.87,26.547,25.983,26.457,25.829,25.713,23.623,24.383,25.805,24.875,26.323,24.899,25.531,24.775,24.924,25.213,23.334,23.832,24.348,25.103,24.854,25.507,25.089,23.983,24.304,24.397,23.892,24.267,25.092,24.147,24.544,NaN,25.606,24.55,24.785,24.54,24.975,NaN,23.392,25.357,24.356,25.174,23.856,23.815,23.92,23.725
27.88,25.653,25.713,25.736,25.057,26.386,25.165,24.667,25.92,25.598,26.246,24.448,25.825,25.937,26.63,25.771,24.442,25.478,25.026,24.024,23.356,24.502,22.795,24.822,25.117,25.908,24.792,23.51,24.895,24.632,24.763,24.564,24.272,23.798,24.167,23.765,23.888,25.144,23.482,23.52,23.821,24.957,24.989,24.338,24.108,24.774
27.89,25.12,24.753,25.416,24.58,26.275,25.58,24.617,25.234,25.551,25.233,25.694,26.245,24.747,26.312,25.953,25.046,25.285,24.396,24.252,24.526,24.548,25.697,24.605,25.195,24.386,25.005,24.851,NaN,24.434,NaN,24.473,24.902,23.924,NaN,23.633,22.693,25.354,23.149,23.375,25.364,23.679,24.8,24.351,24.275,23.378
27.9,26.038,24.993,26.469,25.837,26.389,25.607,25.113,24.743,25.189,26.621,24.728,25.171,26.361,25.443,24.682,24.382,26.942,24.851,25.787,24.396,25.001,24.387,24.697,24.802,25.281,24.28,23.134,24.895,24.833,24.25,24.051,24.195,NaN,24.621,24.528,24.397,24.895,24.478,24.357,25.391,24.671,25.07,23.753,24.452,NaN
27.91,24.767,25.295,26.627,25.485,25.683,25.487,24.977,24.787,25.678,25.456,25.268,26.375,25.961,27.348,26.203,24.062,24.635,24.172,24.807,24.377,25.634,25.819,25.032,23.861,24.172,24.211,23.62,25.134,23.828,25.357,23.499,24.929,NaN,24.754,24.124,22.973,23.832,NaN,25.051,23.878,24.032,24.929,24.431,24.583,23.842
27.92,26.077,25.304,26.33,25.882,26.521,25.567,25.45,26.138,25.601,26.596,24.423,25.874,26.18,27.011,25.268,24.218,23.707,23.462,24.423,23.923,23.883,25.662,23.494,23.77,24.629,23.225,24.021,24.742,24.61,25.244,24.892,25.333,NaN,24.077,24.927,24.207,24.2,24.674,24.663,24.414,23.684,24.407,24.014,23.876,23.863
27.93,26.318,25.923,25.303,26.987,26.63,NaN,24.156,25.759,25.303,25.616,25.282,25.796,26.454,25.88,26.768,24.195,25.028,25.294,25.912,24.104,25.829,25.241,NaN,23.755,25.627,24.525,24.106,24.683,24.181,24.383,24.318,25.238,23.299,24.195,23.178,24.386,25.414,24.265,23.348,25.233,24.66,25.165,24.727,24.934,23.394
27.94,25.711,24.186,27.17,25.287,25.184,24.496,25.092,25.19,24.471,25.269,24.881,24.671,26.409,25.826,25.325,23.896,25.244,24.129,24.419,24.194,23.986,25.539,24.607,25.262,25.418,24.22,24.453,NaN,24.505,24.65,24.471,24.399,24.429,25.476,23.663,24.1,24.01,23.793,23.823,25.556,25.548,24.942,24.22,23.11,24.148
27.95,24.745,26.392,26.094,25.743,25.84,26.107,26.126,25.876,25.68,26.354,24.646,24.925,25.117,25.882,25.367,23.955,25.423,23.514,24.565,24.553,24.794,25.889,24.19,24.186,23.661,23.036,24.579,24.116,24.861,25.421,25.167,25.475,25.119,24.735,23.607,24.144,25.186,24.617,24.21,24.907,24.752,24.831,23.671,23.514,23.349
27.96,25.808,25.745,25.681,26.214,24.773,26.239,25.35,25.374,25.403,26.186,24.113,25.474,25.258,26.046,NaN,23.607,23.922,24.853,24.641,23.903,24.113,25.326,24.671,24.596,24.036,25.017,23.504,NaN,23.114,24.123,24.757,24.395,24.871,24.379,23.222,23.829,23.359,24.157,22.801,24.435,24.247,24.612,24.423,23.479,23.82
27.97,25.934,25.534,26.778,25.015,24.796,24.238,25.544,26.148,25.707,24.848,25.186,24.656,26.459,25.339,26.545,23.764,23.934,24.413,24.41,24.457,24.354,25.855,25.408,24.934,24.562,23.827,24.043,24.694,24.692,24.9,24.259,23.929,24.271,25.637,23.604,23.075,23.996,24.899,23.891,23.477,24.604,24.539,24.013,23.857,24.733
27.98,25.302,26.264,25.629,26.13,25.865,25.664,25.368,25.59,25.03,24.958,25.781,24.984,25.283,25.995,25.737,24.618,24.988,24.281,24.862,24.482,23.995,23.952,24.434,24.574,25.966,24.87,23.758,25.161,25.663,24.234,23.561,25.263,24.617,24.265,24.208,23.253,24.335,24.717,24.191,25.219,25.169,24.496,23.5,23.942,24.169
27.99,25.159,25.431,26.731,26.353,24.395,25.975,25.78,25.859,24.293,NaN,25.899,25.589,26.298,26.268,25.785,24.789,25.22,23.901,24.654,23.82,23.184,23.999,25.755,23.775,24.688,24.944,24.422,26.078,23.919,24.139,23.816,24.622,24.821,25.123,24.219,22.972,25.553,23.872,24.887,25.285,25.281,24.232,23.751,24.463,24.439
28,25.14,25.452,26.293,25.395,25.91,NaN,25.485,25.564,25.224,25.056,25.157,26.374,25.835,26.203,25.834,23.295,25.578,24.04,26.085,24.15,24.196,25.741,23.593,25.928,26.178,24.074,24.563,24.355,24.787,24.981,NaN,25.06,25.202,25.092,24.703,23.59,23.334,23.928,23.875,23.808,24.689,24.036,25.607,25.232,25.246
28.01,25.286,25.987,25.822,24.472,24.995,25.025,NaN,26.319,25.703,25.162,25.695,25.245,25.271,25.522,25.101,24.088,23.923,24.469,25.246,25.39,24.406,25.311,23.793,23.653,24.471,24.76,25.316,25.24,24.887,26.094,24.393,24.759,23.033,24.892,24.119,22.836,24.438,23.55,24.362,24.686,24.638,25.124,24.822,24.419,24.58
28.02,25.46,25.364,25.88,25.969,26.26,25.468,25.261,25.7,26.238,26.335,25.046,26.194,25.124,25.266,25.023,24.679,24.84,24.263,24.95,25.44,24.504,24.869,NaN,24.999,25.335,23.075,24.057,NaN,25.513,23.901,23.455,24.083,24.307,25.572,23.991,23.492,24.416,24.909,24.099,24.682,24.239,24.478,24.219,23.06,24.494
28.03,25.506,26.025,25.454,25.151,24.881,25.295,25.207,25.951,25.741,26.348,25.441,25.465,26.54,26.594,26.462,25.424,25.605,24.459,24.675,24.743,23.724,24.593,23.852,24.959,23.801,24.439,23.374,24.423,24.883,24.887,23.513,24.87,24.853,25.563,24.151,24.312,23.441,24.034,23.46,25.167,24.532,24.925,24.157,23.192,23.691
28.04,25.957,26.134,26.392,26.144,25.504,24.223,23.579,25.328,24.335,25.896,25.322,25.244,26.072,24.447,25.719,NaN,24.118,24.973,24.704,25.03,24.937,25.196,23.061,24.774,25.917,24.101,24.518,26.007,24.95,24.951,24.834,24.552,23.357,25.15,24.455,24.69,24.267,24.358,23.83,24.819,23.868,23.407,23.624,24.695,24.064
28.05,25.5,25.972,25.332,25.128,25.382,25.11,24.944,25.359,26.526,26.272,25.21,25.587,25.943,26.008,26.551,23.459,25.483,23.293,25.393,23.859,23.521,25.223,24.291,25.219,24.493,23.86,23.458,23.949,23.882,25.448,24.826,25.016,24.296,23.518,24.66,23.336,24.666,NaN,24.593,24.806,25.366,24.479,24.101,23.266,24.387
28.06,25.61,24.779,25.011,25.634,26.441,25.319,24.986,25.315,24.635,25.048,23.953,25.887,NaN,24.929,25.907,24.06,25.477,NaN,26.393,24.374,24.9,25.553,24.588,NaN,24.491,25.144,24.504,24.519,24.974,24.574,24.995,24.895,25.26,24.865,24.514,22.301,25.061,25.667,24.15,25.122,25.182,25.399,24.011,23.732,25.467
28.07,26.183,26.564,26.017,24.998,25.978,24.27,24.917,25.412,25.686,25.444,24.444,25.03,26.945,24.989,26.017,23.996,25.256,23.99,24.376,23.789,24.78,23.266,24.632,24.246,23.097,24.801,24.573,24.952,24.657,24.637,24.607,24.723,23.885,23.902,23.681,22.928,25.374,23.857,23.495,24.062,24.244,24.873,23.385,23.671,25.124
28.08,25.968,25.413,25.944,25.453,25.135,25.05,25.011,25.962,26.309,24.762,26.034,24.833,25.256,26.806,26.06,24.408,25.046,24.243,24.18,23.983,24.84,23.875,24.764,23.722,25.416,24.95,24.545,24.24,24.401,25.524,23.793,25.239,25.375,24.929,22.908,23.681,25.526,24.483,23.05,25.383,25.063,24.089,23.831,24.568,24.967
28.09,25.435,26.344,25.27,24.244,25.683,25.292,24.965,25.675,25.839,25.877,24.655,25.773,25.16,25.434,26.782,23.672,23.954,24.656,24.611,23.407,25.348,23.664,24.298,24.605,25.274,23.115,25.197,23.559,24.535,23.913,24.385,24.813,23.224,24.56,25.223,24.39,24.182,24.713,25.066,23.929,24.097,24.562,23.998,24.242,25.045
28.1,25.418,24.601,24.764,25.41,25.42,25.308,24.294,24.489,26.043,NaN,24.951,26.671,25.678,24.763,25.538,23.776,25.295,23.432,23.732,24.028,24.604,24.656,25.167,23.959,NaN,24.539,24.326,25.714,24.42,24.627,24.58,NaN,25.051,24.693,25.083,24.313,24.669,23.885,24.87,25.243,23.691,25.182,23.709,NaN,24.228
28.11,25.999,25.015,26.885,25.249,25.695,26.355,25.138,25.235,24.665,26.678,25.699,26.406,25.605,25.617,25.836,25.168,24.255,25.244,24.747,23.671,25.108,24.751,24.711,NaN,24.539,23.525,24.223,24.354,24.885,24.756,24.296,NaN,24.146,24.59,24.666,24.584,24.897,24.161,24.613,25.667,25.047,24.939,23.924,24.832,24.63
28.12,24.851,25.986,26.12,26.11,26.205,24.323,24.467,25.175,NaN,25.692,25.479,25.669,26.409,24.814,25.958,25.064,24.416,24.461,25.485,23.581,25.408,24.044,24.276,25.158,25.055,24.683,24.926,25.548,25.125,25.321,23.499,25.221,23.985,24.755,24.224,22.843,24.828,24.872,24.006,24.881,25.02,24.56,24.149,24.72,24.776
28.13,25.058,25.436,26.279,24.402,25.757,25.288,25.265,25.252,25.461,24.377,24.126,25.689,25.08,25.525,25.078,23.35,25.397,24.244,24.185,24.334,24.032,25.485,25.039,24.538,25.54,24.651,24.494,24.804,24.713,26.625,24.059,25.731,24.534,24.413,24.375,22.941,25.359,24.734,25.447,24.828,24.773,24.902,24.324,22.497,23.555
28.14,25.264,26.167,26.451,25.825,26.597,25.89,24.971,25.812,25.612,25.197,24.348,25.542,25.714,24.921,24.837,24.165,24.192,24.603,23.895,24.682,24.477,24.574,25.406,25.371,24.598,23.795,23.611,23.848,24.419,NaN,24.203,25.287,24.196,24.566,23.369,23.622,24.11,24.828,24.779,24.427,24.248,24.463,23.627,23.687,24.35
28.15,26.311,26.475,26.7,25.477,26.316,26.325,24.751,23.938,24.753,25.739,25.525,25.803,25.057,26.372,25.322,24.004,24.416,NaN,25.732,23.823,24.233,24.671,24.611,24.566,24.156,24.099,24.32,24.821,24.582,24.736,24.746,24.828,24.272,25.307,23.497,22.696,25.5,24.15,24.101,24.381,24.675,24.648,24.687,22.776,24.19
28.16,24.652,26.274,24.821,26.513,26.239,24.517,24.125,25.57,25.682,25.299,25.991,26.2,25.631,24.68,26.158,24.692,24.583,23.864,23.495,24.405,25.494,23.432,23.81,24.924,25.059,25.49,24.065,NaN,24.185,26.004,23.315,24.934,24.848,25.227,23.433,23.117,24.817,23.364,24.591,25.638,24.907,24.172,24.195,23.674,24.342
28.17,26.05,25.705,25.932,26.133,25.615,25.913,24.805,25.756,25.516,NaN,25.065,24.684,26.019,25.666,25.923,23.116,24.234,24.186,24.237,24.683,25.325,23.891,23.851,NaN,24.724,25.088,24.813,24.607,24.569,24.39,23.982,25.442,25.035,25.589,24.196,23.268,24.709,23.915,24.45,25.632,25.035,23.766,24.922,24.439,24.808
28.18,25.852,25.659,25.831,NaN,24.659,24.999,24.98,25.493,25.467,25.956,26.611,24.63,26.16,25.28,25.437,24.321,25.027,24.491,25.196,24.577,24.199,24.864,23.54,25.019,25.331,24.529,24.677,25.367,25.044,24.779,23.966,24.103,23.658,24.116,23.972,23.042,24.955,24.918,24.161,25.258,24.666,25.763,23.775,25.063,23.746
28.19,25.226,25.457,25.86,24.878,25.618,25.124,25.569,25.571,24.483,25.259,24.98,26.583,25.977,25.265,26.257,23.77,24.807,23.605,24.945,24.816,24.014,24.446,25.144,23.133,24.538,24.512,24.656,25.779,23.762,25.39,24.734,24.337,24.221,24.248,23.395,24.068,24.607,23.567,24.241,24.703,24.637,23.94,24.67,23.367,24.505
28.2,26.362,26.31,26.573,25.788,25.912,24.67,24.944,25.871,NaN,24.516,24.12,25.086,25.179,25.943,25.356,24.514,25.339,24.37,23.803,24.774,24.227,24.03,25.371,23.979,25.426,24.131,24.742,24.008,24.596,24.722,24.176,24.319,NaN,24.911,NaN,23.609,23.904,24.837,24.59,23.789,24.876,24.272,24.369,24.411,23.468
28.21,25.48,25.988,26.421,26.057,25.536,25.765,25.144,24.755,25.394,25.509,25.711,26.129,25.344,26.459,25.221,NaN,25.134,23.981,25.831,25.022,23.957,24.951,25.128,24.477,24.908,25.079,24.706,26.035,24.589,24.598,24.433,24.623,23.994,24.354,23.754,24.054,25.409,25.125,24.001,24.907,25.547,24.769,24.853,24.076,24.338
28.22,24.423,25.535,26.186,25.732,25.93,24.504,24.909,24.982,24.503,27.068,25.363,24.638,NaN,26.745,26.015,NaN,24.898,23.821,24.5,24.093,24.298,25.189,25.062,25.43,NaN,24.435,24.328,NaN,23.889,24.58,24.975,25.442,24.573,24.856,24.565,25.043,23.668,23.736,24.375,23.984,24.586,24.565,25.172,23.406,24.033
28.23,24.42,25.035,26.428,25.256,25.295,24.993,26.043,25.078,25.342,25.912,24.926,25.94,24.762,25.946,NaN,24.757,25.51,24.408,24.548,23.172,23.694,25.001,23.509,25.036,24.208,23.976,24.958,24.7,23.959,24.543,24.441,24.903,23.22,24.368,25.526,22.717,24.699,23.764,24.185,24.542,23.703,23.916,24.25,23.985,NaN
28.24,25.537,26.007,26.351,26.208,26.813,25.105,25.171,25.333,25.481,25.196,25.657,25.525,26.147,25.159,24.99,24.294,24.701,23.328,24.019,24.566,23.932,25.022,23.734,24.886,25.272,24.488,23.764,23.863,25.356,24.107,24.537,25.237,24.513,24.922,24.102,24.248,24.782,25.222,23.89,24.175,24.546,24.316,23.523,24.126,24.264
28.25,26.202,25.734,25.695,25.743,26.089,25.319,NaN,25.561,25.982,25.239,25.197,25.894,25.5,27.322,25.295,23.951,24.806,23.148,NaN,24.542,24.709,24.274,24.646,23.285,24.463,24.658,25.209,24.936,24.416,25.942,24.121,25.325,24.556,25.594,24.235,23.782,24.324,24.559,25.066,24.462,24.408,24.335,24.452,24.653,22.862
28.26,25.516,25.187,24.483,26.906,26.344,24.62,24.043,25.377,25.287,26.601,24.877,26.311,25.566,25.611,26.078,24.664,25.802,24.973,25.596,24.796,25.032,24.233,24.701,24.552,24.679,23.276,23.356,24.403,24.727,24.152,NaN,25.091,24.473,25.664,24.085,23.087,25.172,23.952,25.109,24.704,23.758,24.206,23.815,24.975,23.618
28.27,24.288,26.268,25.993,25.954,26.555,25.086,24.747,24.831,25.756,26.348,24.992,25.595,25.563,25.009,25.705,24.626,25.234,24.803,24.059,25.102,25.197,24.427,24.62,23.968,25.034,23.065,25.481,24.139,23.982,24.516,24.511,23.382,23.66,24.785,23.578,23.131,24.822,24.048,25.475,24.353,24.611,24.953,23.819,23.897,24.316
28.28,25.615,26.731,25.815,24.988,26.152,24.432,24.771,24.757,25.848,26.08,25.205,25.225,25.464,24.975,25.887,25.204,25.209,24.791,24.69,24.682,24.415,23.922,24.724,23.484,25.716,24.123,24.609,24.304,24.786,25.256,23.733,NaN,24.442,24.887,22.664,23.439,24.308,23.827,24.271,23.742,25.243,25.034,24.083,24.161,24.916
28.29,25.496,25.733,26.514,25.824,26.21,24.614,24.568,25.451,24.627,25.803,24.673,25.702,25.039,25.059,25.581,23.349,25.996,24.574,26.132,23.87,25.24,25.547,23.897,25.155,24.721,23.405,24.292,25.005,23.49,23.886,NaN,24.14,24.103,24.232,24.982,24.321,25.219,24.011,24.87,23.913,24.898,24.519,24.78,24.02,23.946
28.3,25.594,24.785,26.157,26.462,25.581,24.814,26.157,25.495,25.699,26.615,24.861,24.783,25.554,26.373,NaN,24.27,25.088,25.203,24.632,24.638,22.609,25.757,23.795,NaN,24.528,24.91,24.162,25.481,24.093,24.924,24.576,25.284,23.599,24.884,23.252,NaN,25.374,24.261,NaN,23.854,25.267,24.579,24.018,23.242,24.241
